word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
grisen,62,62,5,2,29,3,6,Swedish,387670,gris,pig,6,"grisen, gris, grisar, grisarna, grisens, grisig",142,6.166666666666667,142,6.86871921182266,6,62,6
bitar,17,17,7.294117647058823,NA,5,NA,5,Swedish,387670,bit,bite,6,"bit, bitar, biten, bita, bitarna, biter",193,4.833333333333333,193,7.4237670825906115,1,40,4
barn,98,98,8.33673469387755,NA,41,1,4,Swedish,387670,barn,child,2,"barn, barnen",102,5,102,8.543367346938776,1,41,1
jag,353,353,8.209631728045325,NA,29,102,3,Swedish,387670,jag,i,4,"jag, jagade, jagar, jaga",358,4.5,358,6.135741265344665,0,29,104
vara,374,374,7.684491978609626,NA,79,1,4,Swedish,387670,var,where (question),3,"var, vara, vare",1772,3.6666666666666665,1772,6.40640307662077,16,86,834
all,24,24,8.25,NA,NA,1,3,Swedish,387670,all,all,3,"all, alla, alls",179,3.6666666666666665,179,7.909619731418695,0,29,13
kaniner,3,3,5.666666666666667,NA,2,NA,7,Swedish,387670,kanin,bunny,5,"kanin, kaniner, kaninen, kaninerna, kaninens",102,7.2,102,6.746000594707107,3,58,2
hjälpas,2,2,7,NA,NA,NA,7,Swedish,387670,hjälp,help,5,"hjälpa, hjälpas, hjälp, hjälper, hjälps",206,6.2,206,7.866891587944219,6,10,14
regnar,5,5,6.4,NA,2,NA,6,Swedish,387670,regn,rain,3,"regnar, regn, regna",17,5,17,7.761904761904762,2,6,0
hoppas,4,4,11.75,NA,NA,NA,6,Swedish,387670,hopp,jump,8,"hoppas, hoppa, hopp, hoppe, hoppar, hoppade, hoppat, hopps",190,5.5,190,6.209027777777778,31,65,17
cykel,42,42,5.904761904761905,2,20,2,5,Swedish,387670,cykel,bicycle,1,cykel,42,5,42,5.904761904761905,2,20,2
tittar,31,31,7.258064516129032,NA,3,3,6,Swedish,387670,titt,look,6,"titta, tittar, titte, titt, tittat, tittade",1787,5.5,1787,7.600301821726229,155,166,671
fast,266,266,7.868421052631579,1,23,112,4,Swedish,387670,fast,aunt,4,"fast, tant, tanten, faster",280,5,280,10.342105263157894,1,28,112
andra,100,100,7.69,NA,11,10,5,Swedish,387670,andr,other,2,"andra, andre",101,5,101,5.845000000000001,0,11,11
liten,189,189,8.079365079365079,NA,17,NA,5,Swedish,387670,lit,little (description),3,"lit, lite, liten",1799,4,1799,7.816909445961815,6,236,70
farbror,2,2,5.5,NA,2,NA,7,Swedish,387670,farbr,uncle,1,farbror,2,7,2,5.5,0,2,0
katten,47,47,5.127659574468085,1,21,2,6,Swedish,387670,katt,cat,5,"katten, katt, kattens, katta, katterna",190,6,190,7.200122972690782,2,102,5
ner,527,527,8.335863377609108,3,155,2,3,Swedish,387670,ner,down,2,"ner, nere",640,3.5,640,8.278551157831103,3,195,5
mormor,34,34,6.911764705882353,1,8,6,6,Swedish,387670,morm,grandma,5,"farmor, farmors, farm, mormor, mormors",66,6,66,5.974660633484163,3,12,11
dricker,8,8,5.5,NA,1,2,7,Swedish,387670,drick,drink (action),3,"dricka, dricker, drick",172,6,172,5.741269841269841,2,42,13
vatten,177,177,7.435028248587571,7,64,1,6,Swedish,387670,vatt,water (beverage),1,vatten,177,6,177,7.435028248587571,7,64,1
vatten,177,177,7.435028248587571,7,64,1,6,Swedish,387670,vatt,water (not beverage),1,vatten,177,6,177,7.435028248587571,7,64,1
det,909,909,7.528052805280528,NA,166,159,3,Swedish,387670,det,it,1,det,909,3,909,7.528052805280528,0,166,159
glasögon,6,6,4.833333333333333,NA,5,NA,8,Swedish,387670,glasögon,glasses,3,"glasögon, glasögona, glasögonen",8,9,8,3.944444444444444,0,6,0
glasögona,1,1,4,NA,1,NA,9,Swedish,387670,glasögon,glasses,3,"glasögon, glasögona, glasögonen",8,9,8,3.944444444444444,0,6,0
hår,88,88,6.738636363636363,3,39,1,3,Swedish,387670,hår,hair,1,hår,88,3,88,6.738636363636363,3,39,1
åka,659,659,7.690440060698028,NA,67,12,3,Swedish,387670,åka,go,1,åka,659,3,659,7.690440060698028,0,67,12
öra,30,30,5.9,3,13,3,3,Swedish,387670,öra,ear,1,öra,30,3,30,5.9,3,13,3
imorgon,2,2,13,NA,2,NA,7,Swedish,387670,imorgon,tomorrow,1,imorgon,2,7,2,13,0,2,0
fina,15,15,6.733333333333333,NA,1,NA,4,Swedish,387670,fin,fine,2,"fina, fin",262,3.5,262,6.4273954116059375,1,80,9
vad,385,385,6.249350649350649,NA,6,217,3,Swedish,387670,vad,what,2,"vad, vader",386,4,386,6.124675324675325,0,6,217
pannkakor,1,1,2,NA,1,NA,9,Swedish,387670,pannkak,pancake,2,"pannkakor, pannkaker",2,9,2,7,0,2,0
mage,32,32,7.0625,NA,18,NA,4,Swedish,387670,mag,tummy,2,"magen, mage",56,4.5,56,7.864583333333333,0,32,0
lampa,36,36,7.5,4,12,NA,5,Swedish,387670,lamp,lamp,3,"lampa, lampor, lamper",39,5.666666666666667,39,8.5,4,13,0
köra,382,382,7.662303664921466,3,60,6,4,Swedish,387670,kör,drive,2,"köra, kör",742,3.5,742,7.188096276905178,3,104,64
alla,109,109,7.761467889908257,NA,9,12,4,Swedish,387670,all,all,3,"all, alla, alls",179,3.6666666666666665,179,7.909619731418695,0,29,13
elefanten,20,20,5.1,3,7,3,9,Swedish,387670,elefant,elephant,2,"elefanten, elefant",69,8,69,5.264285714285714,8,32,9
le,8,8,7.5,NA,3,1,2,Swedish,387670,le,smile,1,le,8,2,8,7.5,0,3,1
mun,43,43,5.8604651162790695,3,29,3,3,Swedish,387670,mun,mouth,1,mun,43,3,43,5.8604651162790695,3,29,3
godis,121,121,6.933884297520661,3,50,4,5,Swedish,387670,godis,candy,1,godis,121,5,121,6.933884297520661,3,50,4
under,135,135,8,NA,22,13,5,Swedish,387670,und,under,2,"under, unda",136,4.5,136,7.5,0,22,14
lejon,30,30,6.3,2,15,1,5,Swedish,387670,lejon,lion,2,"lejon, lejonen",31,6,31,6.15,2,16,1
pojkar,6,6,5.833333333333333,NA,2,1,6,Swedish,387670,pojk,boy,6,"pojkar, pojkens, pojken, pojke, pojk, pojkarna",134,6,134,5.809523809523809,3,49,2
städa,26,26,5.653846153846154,NA,8,3,5,Swedish,387670,städ,clean (action),1,städa,26,5,26,5.653846153846154,0,8,3
borsten,6,6,5,NA,3,NA,7,Swedish,387670,borst,broom,6,"borsten, borsta, borstar, borstat, borste, borstas",88,6.666666666666667,88,6.286274509803921,1,7,6
trevlig,1,1,2,NA,NA,1,7,Swedish,387670,trev,nice,1,trevlig,1,7,1,2,0,0,1
hungriga,2,2,5.5,NA,2,NA,8,Swedish,387670,hungr,hungry,2,"hungriga, hungrig",8,7.5,8,5.583333333333334,0,5,0
törstiga,1,1,5,NA,NA,1,8,Swedish,387670,törst,thirsty,2,"törstiga, törstig",19,7.5,19,4.777777777777778,0,17,1
armen,16,16,7.0625,NA,9,NA,5,Swedish,387670,arm,arm,4,"armen, arm, armarna, armar",37,5,37,8.419471153846153,1,18,0
dina,27,27,6.925925925925926,NA,NA,1,4,Swedish,387670,din,you,3,"du, din, dina",17285,3,17285,6.927837917044115,63,2360,1706
sjunger,5,5,6.2,NA,1,2,7,Swedish,387670,sjung,sing,3,"sjunger, sjung, sjunga",87,6,87,5.583549783549784,0,19,8
sjung,5,5,4.2,NA,NA,1,5,Swedish,387670,sjung,sing,3,"sjunger, sjung, sjunga",87,6,87,5.583549783549784,0,19,8
