word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
mali,301,301,5.568106312292358,7,93,51,4,Croatian,226081,mal,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.70236611253354,18,544,208
ovo,1583,1583,5.833859759949463,27,462,362,3,Croatian,226081,ov,this,13,"ovo, ovoj, ovu, ovog, ove, ova, ovoga, ovim, ovi, ovom, ovih, ovima, ov",2453,3.6153846153846154,2453,6.58456807175497,51,569,489
on,480,480,7.73125,NA,27,134,2,Croatian,226081,on,that,14,"oni, on, ono, onu, ona, one, onoj, onom, onog, onoga, onim, onih, onima, onome",1522,3.7142857142857144,1522,10.38978992365303,4,108,316
u,2639,2639,7.670708601743084,21,56,501,1,Croatian,226081,u,in,1,u,2639,1,2639,7.670708601743084,21,56,501
boca,5,5,3.6,NA,1,2,4,Croatian,226081,boc,bottle,5,"boca, boc, bocu, boce, boco",24,3.8,24,3.9033333333333333,2,8,8
krevetu,31,31,7.580645161290323,NA,18,NA,7,Croatian,226081,krevet,bed,4,"krevetu, krevet, kreveta, krevetima",76,7.25,76,5.796676441837732,6,37,2
puno,205,205,6.8,5,31,47,4,Croatian,226081,pun,many,8,"puno, punu, pune, puna, pun, puni, punog, punom",238,4.125,238,9.189583333333333,6,34,54
životinja,36,36,6.083333333333333,NA,25,NA,9,Croatian,226081,životinj,animal,4,"životinja, životinje, životinju, životinjama",69,9.5,69,6.976190476190476,0,40,2
dječak,33,33,4.96969696969697,1,15,7,6,Croatian,226081,dječak,boy,3,"dječak, dječaku, dječaka",36,6.666666666666667,36,8.823232323232324,1,15,7
žaba,7,7,3.7142857142857144,NA,7,NA,4,Croatian,226081,žab,frog,3,"žaba, žabe, žabu",15,4,15,3.988095238095238,1,13,0
male,93,93,7.946236559139785,NA,18,4,4,Croatian,226081,mal,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.70236611253354,18,544,208
žabe,4,4,5.5,NA,3,NA,4,Croatian,226081,žab,frog,3,"žaba, žabe, žabu",15,4,15,3.988095238095238,1,13,0
malo,1236,1236,6.720873786407767,4,323,112,4,Croatian,226081,mal,little (amount),8,"mali, male, malo, mala, malu, maloj, malom, malima",1999,4.5,1999,6.70236611253354,18,544,208
skočio,19,19,3.736842105263158,3,4,6,6,Croatian,226081,skoči,jump,8,"skočio, skočiti, skoči, skočit, skočila, skoče, skočili, skočivši",68,6.375,68,6.080741626794259,9,20,12
zatvoriti,16,16,4.5,2,4,1,9,Croatian,226081,zatvori,close,9,"zatvoriti, zatvorili, zatvorila, zatvori, zatvorio, zatvorim, zatvorit, zatvorimo, zatvoru",67,8.222222222222221,67,7.0954050306991485,2,23,8
prozor,46,46,7.521739130434782,1,20,5,6,Croatian,226081,prozor,window,7,"prozor, prozora, prozoru, prozorima, prozore, prozorom, prozori",61,7.285714285714286,61,5.417391304347826,2,26,5
puhao,4,4,4.5,NA,2,1,5,Croatian,226081,puha,blow,7,"puhao, puhati, puhali, puhale, puhala, puh, puhat",18,5.285714285714286,18,5.416666666666667,0,6,4
bježao,4,4,10.5,1,NA,NA,6,Croatian,226081,bježa,flee,8,"bježao, bjež, bježe, bježi, bježali, bježat, bježati, bježala",21,5.875,21,6.33125,5,6,1
bacio,69,69,4.898550724637682,1,31,12,5,Croatian,226081,baci,throw,10,"bacio, baciti, bacila, baci, bacim, bacimo, bacili, baca, bacit, bac",316,5,316,6.111121954769977,9,125,46
tu,2779,2779,6.427132061892767,81,592,648,2,Croatian,226081,tu,here,1,tu,2779,2,2779,6.427132061892767,81,592,648
molim,491,491,2.8920570264765786,268,22,78,5,Croatian,226081,moli,please,7,"molim, molimo, molila, molit, mol, mola, moli",498,4.714285714285714,498,5.913151003782368,270,24,79
gledao,30,30,8.066666666666666,1,7,NA,6,Croatian,226081,gleda,look,13,"gledao, gledaš, gleda, gledaj, gledati, gledala, gledaju, gledali, gledam, gledate, gledat, gledo, gledamo",579,6.3076923076923075,579,6.908322522261501,62,149,89
nema,355,355,5.025352112676057,24,63,159,4,Croatian,226081,nem,all gone,7,"nema, nemoj, nemamo, nemam, nemaš, nemate, nemaju",1174,5.285714285714286,1174,5.548312170667836,60,145,542
nema,355,355,5.025352112676057,24,63,159,4,Croatian,226081,nem,don't,2,"nema, nemoj",990,4.5,990,5.300865032715981,41,130,477
kako,2151,2151,6.2468619246861925,84,32,363,4,Croatian,226081,kak,cacao,12,"kako, kak, kakati, kakaj, kakala, kaka, kakat, kakalo, kakao, kakaa, kakali, kakaju",2308,5.083333333333333,2308,5.270383969305386,90,79,380
kako,2151,2151,6.2468619246861925,84,32,363,4,Croatian,226081,kak,how,3,"kako, kak, kaka",2217,3.6666666666666665,2217,6.472763498704921,86,45,375
