language,uni_lemma,item_definition,phons,fixed_phon
French (Quebec),grrr,grrrr,ʒ_e_ɛ_ʁ_ɛ_ʁ_ɛ_ʁ_ɛ_ʁ,ʒ_ʁ
French (Quebec),quack quack,coin coin,k_w_ɛ̃ k_w_ɛ̃,
French (Quebec),cockadoodledoo,cocorico,k_ɔ_k_ɔ_ʁ_i_k_o,
French (Quebec),baa baa,bêêêê bêêêê,b_ɛ_ɛ_ɛ_ɛ b_ɛ_ɛ_ɛ_ɛ,b_ɛ_b_ɛ
English (American),baa baa,baa baa,b_ɑː b_ɑː,
English (American),choo choo,choo choo,tʃ_uː tʃ_uː,
English (American),cockadoodledoo,cockadoodledoo,k_ɑː_k_ɐ_d_uː_d_əl_d_uː,
English (American),grrr,grrr,dʒ_iː__ɑː_ɹ_ɑː_ɹ_ɑːɹ,dʒ_ɹ
English (American),meow,meow,m_ɪ__aʊ,
English (American),moo,moo,m_uː,
English (American),ouch,ouch,aʊ_tʃ,
English (American),quack quack,quack quack,k_w_æ_k k_w_æ_k,
English (American),uh oh,uh oh,ʌ oʊ,
English (American),vroom,vroom,v_iː_ɹ_uː_m,v_ɹ_uː_m
English (American),woof woof,woof woof,w_uː_f w_uː_f,
English (American),yum yum,yum yum,j_ʌ_m j_ʌ_m,
Spanish (Mexican),yum yum,¡am!,a_m,
Spanish (Mexican),ouch,¡ay!,aɪ,
Spanish (Mexican),baa baa,bee/mee,"b_e_e, m_e_e","b_e, m_e"
Spanish (Mexican),quack quack,cuacuá,k_w_a_k_w_a,
Spanish (Mexican),woof woof,guaguá,ɡ_w_a_ɣ_w_a,
Spanish (Mexican),meow,miau,m_j_aʊ,
Spanish (Mexican),moo,muu,m_u_u,m_u
Spanish (Mexican),tweet tweet,pío pío,p_i__o p_i__o,
Spanish (Mexican),honk honk,pipí (coche),p_i_p_i,
Spanish (Mexican),bang,¡pum!,p_u_m,
Spanish (Mexican),cockadoodledoo,quiquiriquí,k_i_k_i_ɾ_i_k_i,
Spanish (Mexican),choo choo,tutú,t_u_t_u,
Italian,choo choo,tuttù,t_ʊ_tː_u,
Italian,moo,muh,m_u,
Italian,grrr,grr,dʒ_i__ɛ_r_ɾ_e_ɛ_r_ɾ_e,dʒ_ɾ
Italian,cockadoodledoo,coccodè,k_o_kː_o_d_ɛ,
Italian,quack quack,qua qua,k_w_a k_w_a,
Italian,meow,miao,m_j_aʊ,
Italian,uh oh,oh oh,ɔ_ ɔ,
Italian,clop clop,clop clop,k_l_o_p k_l_o_p,
Italian,tweet tweet,cip cip,tʃ_i_p tʃ_i_p,
Italian,vroom,brum brum,b__r_u_m b__r_u_m,
Italian,baa baa,beh beh,b_ɛ b_ɛ,
Italian,woof woof,bau bau,b_aː_ʊ b_aː_ʊ,
Spanish,honk honk,pipí,p_i_p_i,
Norwegian,ouch,au,aʊ,
Norwegian,baa baa,bææ,b_ɛː_ɛː,b_ɛː
Norwegian,vroom,brrr (bil-lyd),b_eː_ɛː_r_ɛː_r_ɛː_r,b_r
Norwegian,quack quack,gakk gakk,ɡ_ɑ_kː ɡ_ɑ_kː,
Norwegian,grrr,grr,ɡ_eː_ɛː_r_ɛː_r,ɡ_r
Norwegian,cockadoodledoo,kykeliky,x_yː_k_eː_l_iː_x_yː,
Norwegian,meow,mjau,m_j_aʊ,
Norwegian,moo,møø,m_øː_øː,m_øː
Norwegian,yum yum,nam - nam,n_a_m n_a_m,
Norwegian,choo choo,tøff-tøff,t_œ_f_f_t_œ_f_f,t_œ_f_t_œ_f
Norwegian,woof woof,voff voff,v_ɔ_f_f v_ɔ_f_f,v_ɔ_f_v_ɔ_f
Norwegian,NA,oi (uttrykk for overraskelse),ɔɪ,
Danish,NA,åh åhh (ups),ɒ ɒ_h,
French (Quebec),baa baa,bêêê bêêê,b_ɛ_ɛ_ɛ b_ɛ_ɛ_ɛ,b_ɛ_b_ɛ
French (Quebec),grrr,grr,ʒ_e_ɛ_ʁ_ɛ_ʁ,ʒ_ʁ
English (Australian),baa baa,baa baa,b_ɑː b_ɑː,
English (Australian),choo choo,choo choo,tʃ_uː tʃ_uː,
English (Australian),cockadoodledoo,cockadoodledoo,k_ɒ_k_ɐ_d_uː_d_əl_d_uː,
English (Australian),grrr,grr,dʒ_iː__ɑː_ɹ_ɑː,dʒ_ɹ
English (Australian),meow,meow,m_ɪ__aʊ,
English (Australian),moo,moo,m_uː,
English (Australian),ouch,ouch,aʊ_tʃ,
English (Australian),quack quack,quack quack,k_w_a_k k_w_a_k,
English (Australian),uh oh,uh oh,ʌ əʊ,
English (Australian),vroom,vroom/broom,"v_iː_ɹ_uː_m, b_ɹ_uː_m","v_ɹ_uː_m, b_ɹ_uː_m"
English (Australian),woof woof,woof woof,w_uː_f w_uː_f,
English (Australian),yum yum,yum yum,j_ʌ_m j_ʌ_m,
English (British),baa baa,baa baa,b_ɑː b_ɑː,
English (British),choo choo,choo choo,tʃ_uː tʃ_uː,
English (British),cockadoodledoo,cockadoodledoo,k_ɒ_k_ɐ_d_uː_d_əl_d_uː,
English (British),grrr,grr,dʒ_iː__ɑː_ɹ_ɑː,dʒ_ɹ
English (British),meow,meow,m_ɪ__aʊ,
English (British),moo,moo,m_uː,
English (British),ouch,ouch,aʊ_tʃ,
English (British),quack quack,quack,k_w_æ_k,
English (British),uh oh,uh oh,ʌ əʊ,
English (British),vroom,vroom,v_iː_ɹ_uː_m,v_ɹ_uː_m
English (British),woof woof,woof,w_uː_f,
English (British),yum yum,yum,j_ʌ_m,
Spanish (Mexican),shh,shh,ɛ_s_e_a_tʃ_e_a_tʃ_e,ʃ
Croatian,shh,psst-tiho,,p_s_t
Danish,shh,shh,,ʃ
Italian,shh,zitto/sch,,"dz_ˈi_tː_o, ʃ"
Swedish,shh,sch /hysch,,"ʃ, h_y_ʃ"
English (British),shh,shh / hush / shush,,"ʃ, h_ʌ_ʃ, ʃ_ʌ_ʃ"
English (American),shh,shh/shush/hush,,"ʃ, h_ʌ_ʃ, ʃ_ʌ_ʃ"
Hebrew,1PL,אנחנו,,"a_n_a_X_n_u, ʔ_a_n_a_X_n_u"
Hebrew,1PL.POSS,שלנו,,"S_e_l_a_n_u, S_e_l_a_n_u"
Hebrew,1SG,אותי,,"o_t_i, ʔ_o_t_i"
Hebrew,1SG,אני,,"a_n_i, ʔ_a_n_i"
Hebrew,1SG.POSS,שלי,,"S_e_l_i, S_e_l_i"
