language,form,item_id,item_definition,lexical_category
English (British),TEDS Twos,item_94,flag,nouns
English (British),TEDS Threes,item_27,forget/forgot,verbs
English (British),TEDS Twos,item_23,friend,nouns
English (British),TEDS Threes,item_102,front,function_words
English (British),TEDS Threes,item_38,furniture,nouns
English (British),TEDS Twos,item_77,game,nouns
English (British),TEDS Twos,item_103,gentle,adjectives
English (British),TEDS Threes,item_14,glass,nouns
English (British),TEDS Threes,item_99,half,other
English (British),TEDS Twos,item_38,hand,nouns
English (British),TEDS Twos,item_28,happy,adjectives
English (British),TEDS Twos,item_14,hat,nouns
English (British),TEDS Threes,item_31,hate,verbs
English (British),TEDS Twos,item_39,hi/hello,other
English (British),TEDS Twos,item_53,horse,nouns
English (British),TEDS Threes,item_58,hose/hose-pipe,nouns
English (British),TEDS Twos,item_32,hot,adjectives
English (British),TEDS Threes,item_112,however,function_words
English (British),TEDS Twos,item_75,hug/cuddle,verbs
English (British),TEDS Threes,item_35,hurry,verbs
English (British),TEDS Threes,item_106,idea,nouns
English (British),TEDS Twos,item_112,if,function_words
English (British),TEDS Threes,item_18,jar,nouns
English (British),TEDS Threes,item_85,jeans,nouns
English (British),TEDS Twos,item_97,juice,nouns
English (British),TEDS Threes,item_42,kitchen,nouns
English (British),TEDS Threes,item_45,kite,nouns
English (British),TEDS Threes,item_105,blade,nouns
English (British),TEDS Threes,item_22,ladder,nouns
English (British),TEDS Twos,item_54,lamp/torch,nouns
English (British),TEDS Twos,item_36,last,adjectives
English (British),TEDS Threes,item_39,leave,verbs
English (British),TEDS Twos,item_42,leg,nouns
English (British),TEDS Threes,item_53,lemon,nouns
English (British),TEDS Twos,item_83,like,verbs
English (British),TEDS Twos,item_79,listen,verbs
English (British),TEDS Twos,item_40,tiny,adjectives
English (British),TEDS Threes,item_103,long,adjectives
English (British),TEDS Threes,item_107,lost,adjectives
English (British),TEDS Threes,item_26,material,nouns
English (British),TEDS Threes,item_43,measure,verbs
English (British),TEDS Twos,item_101,meat,nouns
English (British),TEDS Twos,item_17,meow,other
English (British),TEDS Threes,item_37,microscope,nouns
English (British),TEDS Threes,item_92,might,function_words
English (British),TEDS Twos,item_105,milk,nouns
English (British),TEDS Twos,item_27,mummy/mum,nouns
English (British),TEDS Twos,item_96,much,function_words
English (British),TEDS Threes,item_93,(finger) nail,nouns
English (British),TEDS Twos,item_18,necklace,nouns
English (British),TEDS Twos,item_104,need to,verbs
English (British),TEDS Threes,item_96,need to,verbs
English (British),TEDS Twos,item_43,no,other
English (British),TEDS Threes,item_86,nobody,nouns
