"","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount"
"105","i",548,0.00638486274875332,8.17518248175183,7,15,84,1,"Italian",85828
"106","treni",4,4.6604837582141e-05,11.25,NA,2,NA,5,"Italian",85828
"107","dove",362,0.00421773780118376,6.2707182320442,8,20,141,4,"Italian",85828
"108","vai",100,0.00116512093955353,6.03,1,16,25,3,"Italian",85828
"109","per",327,0.00380994547234003,9.28746177370031,NA,1,32,3,"Italian",85828
"110","vederli",3,3.49536281866058e-05,5,NA,1,NA,7,"Italian",85828
"111","meglio",26,0.000302931444283917,8.46153846153846,1,8,4,6,"Italian",85828
"112","sì",1597,0.0186069814046698,5.02567313713212,394,375,532,2,"Italian",85828
"113","oppure",13,0.000151465722141958,7.76923076923077,NA,1,4,6,"Italian",85828
"114","su",128,0.00149135480262851,8.171875,1,31,9,2,"Italian",85828
"115","scalette",2,2.33024187910705e-05,6.5,NA,2,NA,8,"Italian",85828
"116","nella",86,0.00100200400801603,7.80232558139535,1,1,12,5,"Italian",85828
"117","torre",73,0.000850538285874074,6.36986301369863,NA,37,NA,5,"Italian",85828
"118","chi",464,0.00540616115952836,5.94612068965517,8,16,159,3,"Italian",85828
"119","sulla",85,0.000990352798620497,7.97647058823529,NA,1,7,5,"Italian",85828
"120","passano",6,6.99072563732115e-05,9.83333333333333,NA,NA,NA,7,"Italian",85828
"121","saluti",4,4.6604837582141e-05,6.75,NA,3,NA,6,"Italian",85828
"122","dici",94,0.00109521368318031,5.26595744680851,1,30,2,4,"Italian",85828
"123","sono",790,0.00920445542247285,7.04303797468354,4,114,117,4,"Italian",85828
"124","dei",110,0.00128163303350888,9.00909090909091,1,1,5,3,"Italian",85828
"125","bambini",23,0.000267977816097311,10.304347826087,NA,6,1,7,"Italian",85828
"126","signori",3,3.49536281866058e-05,6,NA,2,NA,7,"Italian",85828
"127","libro",34,0.000396141119448199,7.76470588235294,NA,16,NA,5,"Italian",85828
"128","no",1026,0.0119541408398192,5.74074074074074,162,251,458,2,"Italian",85828
"129","fare",222,0.00258656848580883,7.94144144144144,NA,39,3,4,"Italian",85828
"130","teddy",93,0.00108356247378478,6.93548387096774,2,43,7,5,"Italian",85828
"131","prendiamo",19,0.00022137297851517,6.26315789473684,NA,1,4,9,"Italian",85828
"132","andiamo",80,0.000932096751642821,6.9625,2,9,24,7,"Italian",85828
"133","prendere",59,0.00068742135433658,8.52542372881356,NA,14,NA,8,"Italian",85828
"134","una",698,0.00813254415808361,7.60744985673352,12,38,137,3,"Italian",85828
"135","altra",96,0.00111851610197138,8.83333333333333,NA,11,NA,5,"Italian",85828
"136","prepariamo",1,1.16512093955353e-05,4,NA,NA,NA,10,"Italian",85828
"137","cioccolata",6,6.99072563732115e-05,7.16666666666667,NA,5,NA,10,"Italian",85828
"138","dimmi",16,0.000186419350328564,7.3125,1,1,7,5,"Italian",85828
"139","come",538,0.00626835065479797,6.20817843866171,11,11,246,4,"Italian",85828
"140","prepararla",2,2.33024187910705e-05,6,NA,NA,NA,10,"Italian",85828
"141","basta",58,0.000675770144941045,5.74137931034483,2,11,17,5,"Italian",85828
"142","vuole",57,0.00066411893554551,8.01754385964912,NA,7,6,5,"Italian",85828
"143","berla",2,2.33024187910705e-05,11,NA,2,NA,5,"Italian",85828
"144","prima",121,0.00140979633685977,9.18181818181818,NA,16,24,5,"Italian",85828
"145","biscotti",10,0.000116512093955353,6,NA,7,NA,8,"Italian",85828
"146","della",129,0.00150300601202405,8.71317829457364,NA,NA,NA,5,"Italian",85828
"147","nonna",79,0.000920445542247285,7.06329113924051,2,22,5,5,"Italian",85828
"148","appunto",6,6.99072563732115e-05,20.8333333333333,NA,NA,1,7,"Italian",85828
"149","nascosti",1,1.16512093955353e-05,16,NA,NA,NA,8,"Italian",85828
"150","fino",18,0.000209721769119635,9.11111111111111,NA,NA,4,4,"Italian",85828
"151","domani",46,0.000535955632194622,7.47826086956522,3,14,10,6,"Italian",85828
"152","sennò",7,8.15584657687468e-05,10.5714285714286,NA,NA,NA,5,"Italian",85828
"153","angelo",6,6.99072563732115e-05,9.33333333333333,NA,3,1,6,"Italian",85828
"154","mangia",72,0.000838887076478538,6.76388888888889,NA,22,8,6,"Italian",85828
"155","sta",167,0.00194575196905439,7.77844311377245,1,7,12,3,"Italian",85828
"156","male",66,0.000768979820105327,6.5,NA,35,NA,4,"Italian",85828
"157","ora",33,0.000384489910052663,6.72727272727273,2,NA,13,3,"Italian",85828
"158","messi",13,0.000151465722141958,8.30769230769231,NA,4,NA,5,"Italian",85828
"159","xxx",350,0.00407792328843734,5.66,47,118,85,3,"Italian",85828
"160","dov'",174,0.00202731043482313,5.91954022988506,NA,NA,90,4,"Italian",85828
"161","andato",38,0.00044274595703034,7.07894736842105,NA,6,NA,6,"Italian",85828
"162","ricordi",150,0.00174768140933029,7.41333333333333,NA,46,1,7,"Italian",85828
"163","era",259,0.00301766323344363,8.42857142857143,NA,25,27,3,"Italian",85828
"164","po'",265,0.00308757048981684,8.55094339622642,NA,NA,NA,3,"Italian",85828
"165","uhh",2,2.33024187910705e-05,8.5,NA,NA,2,3,"Italian",85828
"166","eccolo",82,0.000955399170433891,3.51219512195122,20,4,43,6,"Italian",85828
"167","torna",6,6.99072563732115e-05,8.83333333333333,NA,NA,2,5,"Italian",85828
"168","casa",83,0.000967050379829426,10.1807228915663,NA,29,1,4,"Italian",85828
"169","corsa",6,6.99072563732115e-05,8.5,NA,4,NA,5,"Italian",85828
"170","fanno",92,0.00107191126438924,6.25,NA,22,14,5,"Italian",85828
"171","spogliato",2,2.33024187910705e-05,11.5,NA,1,NA,9,"Italian",85828
"172","tolto",5,5.82560469776763e-05,9.6,NA,NA,NA,5,"Italian",85828
"173","vestiti",4,4.6604837582141e-05,10.5,NA,1,NA,7,"Italian",85828
"174","erano",51,0.000594211679172298,8.94117647058824,NA,6,5,5,"Italian",85828
"175","bagnati",3,3.49536281866058e-05,10.6666666666667,NA,2,NA,7,"Italian",85828
"176","asciugano",3,3.49536281866058e-05,8.33333333333333,NA,NA,NA,9,"Italian",85828
"177","bell'",6,6.99072563732115e-05,6,NA,NA,NA,5,"Italian",85828
"178","asciugamano",2,2.33024187910705e-05,7,NA,NA,NA,11,"Italian",85828
"179","bianco",33,0.000384489910052663,7.81818181818182,NA,15,1,6,"Italian",85828
"180","fregano",1,1.16512093955353e-05,6,NA,NA,NA,7,"Italian",85828
"181","bene",340,0.00396141119448199,5.21470588235294,28,202,10,4,"Italian",85828
"182","così",264,0.00307591928042131,7.10227272727273,8,83,35,4,"Italian",85828
"183","scalda",3,3.49536281866058e-05,6.66666666666667,NA,1,NA,6,"Italian",85828
"184","preoccupati",2,2.33024187910705e-05,7.5,NA,NA,NA,11,"Italian",85828
"185","bimbi",19,0.00022137297851517,6.42105263157895,NA,9,NA,5,"Italian",85828
"186","faccine",1,1.16512093955353e-05,5,NA,NA,NA,7,"Italian",85828
"187","tristi",2,2.33024187910705e-05,8,NA,NA,NA,6,"Italian",85828
"188","eh",748,0.00871510462786037,6.49197860962567,68,81,543,2,"Italian",85828
"189","stato",32,0.000372838700657128,8.625,NA,3,NA,5,"Italian",85828
"190","fuori",106,0.00123502819592674,8.73584905660377,2,38,3,5,"Italian",85828
"191","all'",40,0.00046604837582141,9.175,NA,NA,1,4,"Italian",85828
"192","acqua",54,0.000629165307358904,7.44444444444444,2,21,2,5,"Italian",85828
"193","dice",57,0.00066411893554551,9.40350877192983,NA,13,1,4,"Italian",85828
"194","cagnolino",41,0.000477699585216946,7.02439024390244,NA,16,1,9,"Italian",85828
"195","aiuta",7,8.15584657687468e-05,6,NA,2,NA,5,"Italian",85828
"196","prende",15,0.000174768140933029,10.7333333333333,NA,NA,2,6,"Italian",85828
"197","dopoché",2,2.33024187910705e-05,9.5,NA,NA,NA,7,"Italian",85828
"198","ben",10,0.000116512093955353,5.5,NA,4,1,3,"Italian",85828
"199","fasciano",1,1.16512093955353e-05,3,NA,NA,NA,8,"Italian",85828
"200","caldo",6,6.99072563732115e-05,7.33333333333333,1,3,NA,5,"Italian",85828
"201","piove",25,0.000291280234888381,6.28,5,2,8,5,"Italian",85828
"202","venuto",9,0.000104860884559817,6.66666666666667,NA,NA,NA,6,"Italian",85828
"203","sole",5,5.82560469776763e-05,9.2,NA,3,NA,4,"Italian",85828
"204","mh",128,0.00149135480262851,3.984375,43,15,67,2,"Italian",85828
"205","possono",11,0.000128163303350888,8.81818181818182,NA,NA,2,7,"Italian",85828
"206","via",206,0.00240014913548026,6.39805825242718,8,82,21,3,"Italian",85828
"207","giocare",36,0.000419443538239269,8.44444444444444,NA,5,NA,7,"Italian",85828
"208","vanno",39,0.000454397166425875,10,NA,2,7,5,"Italian",85828
"209","possiamo",26,0.000302931444283917,8.61538461538461,NA,NA,4,8,"Italian",85828
"210","andare",68,0.000792282238896397,7.70588235294118,NA,12,NA,6,"Italian",85828
"211","fa",356,0.00414783054481055,7.02808988764045,NA,64,29,2,"Italian",85828
"212","leggi",6,6.99072563732115e-05,7.83333333333333,NA,NA,3,5,"Italian",85828
"213","forte",25,0.000291280234888381,5.92,1,12,2,5,"Italian",85828
"214","ti",719,0.00837721955538985,7.54937413073714,1,3,233,2,"Italian",85828
"215","voglio",21,0.00024467539730624,6.33333333333333,NA,3,4,6,"Italian",85828
