"","X1","word","wordcount","freq","mlu","solo","last","first","charactercount","language","totalcount","stem","uni_lemma","nb_realisations_lemma","words_lemma","sum_wordcount_lemma","mean_character_count_lemma","sum_freq","mean_mlu_lemma","sum_solo_lemma","sum_last_lemma","sum_first_lemma"
"42",74,"porta",2,0.000499001996007984,13,NA,NA,NA,5,"Italian",4008,"port","door",5,"porta, porti, portiamo, portato, portano",8,6.4,0.00199600798403194,7,0,2,1
"43",77,"parlare",5,0.00124750499001996,9,NA,NA,NA,7,"Italian",4008,"parl","talk",3,"parlare, parla, parli",9,5.66666666666667,0.00224550898203593,7.55555555555556,0,0,0
"44",81,"finito",3,0.000748502994011976,9.33333333333333,NA,1,NA,6,"Italian",4008,"fin","finish",7,"finito, fino, finiamo, finita, finire, fine, finiti",10,5.57142857142857,0.00249500998003992,9.54761904761905,0,3,0
"45",81,"finito",3,0.000748502994011976,9.33333333333333,NA,1,NA,6,"Italian",4008,"fin","finished",7,"finito, fino, finiamo, finita, finire, fine, finiti",10,5.57142857142857,0.00249500998003992,9.54761904761905,0,3,0
"46",82,"facciamo",6,0.00149700598802395,6.83333333333333,NA,1,NA,8,"Italian",4008,"facc","face",2,"facciamo, faccio",8,7,0.00199600798403193,7.41666666666667,0,1,0
"47",83,"dopo",11,0.00274451097804391,7.90909090909091,NA,5,2,4,"Italian",4008,"dop","after",2,"poi, dopo",40,3.5,0.00998003992015968,7.1614420062696,2,10,11
"48",84,"parla",3,0.000748502994011976,6.66666666666667,NA,NA,NA,5,"Italian",4008,"parl","talk",3,"parlare, parla, parli",9,5.66666666666667,0.00224550898203593,7.55555555555556,0,0,0
"49",85,"lui",5,0.00124750499001996,8.8,NA,1,1,3,"Italian",4008,"lui","he",1,"lui",5,3,0.00124750499001996,8.8,0,1,1
"50",90,"con",14,0.00349301397205589,9.64285714285714,NA,NA,2,3,"Italian",4008,"con","with",1,"con",14,3,0.00349301397205589,9.64285714285714,0,0,2
"51",91,"sopra",2,0.000499001996007984,11,NA,NA,NA,5,"Italian",4008,"sopr","above",1,"sopra",2,5,0.000499001996007984,11,0,0,0
"52",92,"tutti",17,0.00424151696606786,8.58823529411765,NA,2,NA,5,"Italian",4008,"tutt","all",4,"tutto, tutti, tutte, tutta",31,5,0.00773453093812375,7.92830882352941,0,4,1
"53",94,"solo",6,0.00149700598802395,8.33333333333333,NA,1,1,4,"Italian",4008,"sol","sun",2,"solo, sole",8,4,0.00199600798403193,9.66666666666666,0,2,1
"54",97,"sotto",3,0.000748502994011976,8.66666666666667,NA,NA,NA,5,"Italian",4008,"sott","under",1,"sotto",3,5,0.000748502994011976,8.66666666666667,0,0,0
"55",103,"vedi",26,0.00648702594810379,8.07692307692308,NA,7,12,4,"Italian",4008,"ved","see",6,"vedere, vedi, vederli, vediamo, vedono, vede",41,5.66666666666667,0.0102295409181637,7.90865384615385,0,12,12
"56",105,"i",40,0.00998003992015968,8.525,NA,NA,2,1,"Italian",4008,"i","the",6,"lo, il, la, gli, le, i",302,2,0.0753493013972055,7.63530479567714,0,2,55
"57",106,"treni",3,0.000748502994011976,11.6666666666667,NA,2,NA,5,"Italian",4008,"tren","train",2,"treno, treni",7,5,0.00174650698602794,10.4583333333333,0,4,0
"58",109,"per",18,0.00449101796407186,7.77777777777778,NA,NA,4,3,"Italian",4008,"per","for",2,"per, però",22,3.5,0.00548902195608783,8.51388888888889,0,0,7
"59",109,"per",18,0.00449101796407186,7.77777777777778,NA,NA,4,3,"Italian",4008,"per","pear",2,"per, però",22,3.5,0.00548902195608783,8.51388888888889,0,0,7
"60",110,"vederli",1,0.000249500998003992,6,NA,NA,NA,7,"Italian",4008,"ved","see",6,"vedere, vedi, vederli, vediamo, vedono, vede",41,5.66666666666667,0.0102295409181637,7.90865384615385,0,12,12
"61",112,"sì",36,0.00898203592814371,4.75,12,1,16,2,"Italian",4008,"sì","yes",1,"sì",36,2,0.00898203592814371,4.75,12,1,16
"62",114,"su",4,0.000998003992015968,9.75,NA,NA,1,2,"Italian",4008,"su","up",1,"su",4,2,0.000998003992015968,9.75,0,0,1
"63",125,"bambini",3,0.000748502994011976,10,NA,1,NA,7,"Italian",4008,"bambin","child",6,"a, bambini, bimbi, bimba, bimbo, bambino",103,5,0.0256986027944112,8.56496697746698,0,18,3
"64",126,"signori",1,0.000249500998003992,6,NA,1,NA,7,"Italian",4008,"signor","sir",3,"a, signori, signore",55,5,0.0137225548902196,7.85897435897436,0,1,3
"65",127,"libro",2,0.000499001996007984,4,NA,2,NA,5,"Italian",4008,"libr","book",4,"libro, favola, storia, libri",8,5.5,0.00199600798403194,6,0,3,0
"66",128,"no",18,0.00449101796407186,7.33333333333333,NA,2,13,2,"Italian",4008,"no","no",1,"no",18,2,0.00449101796407186,7.33333333333333,0,2,13
"67",129,"fare",6,0.00149700598802395,7.83333333333333,NA,1,NA,4,"Italian",4008,"far","make",1,"fare",6,4,0.00149700598802395,7.83333333333333,0,1,0
