word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
hjælpe,117,117,5.880341880341881,NA,9,NA,6,Danish,195658,hjælp,help,3,"hjælpe, hjælper, hjælp",140,6,140,5.352706552706553,1,12,2
nogen,292,292,7.726027397260274,NA,59,8,5,Danish,195658,nog,some,3,"noget, nogle, nogen",1773,5,1773,7.5364651068497945,0,593,35
farlig,14,14,5.642857142857143,NA,5,1,6,Danish,195658,far,daddy,8,"farligt, farlig, far, faren, farens, farlige, fars, farende",150,5.625,150,7.063668084788775,4,54,14
slå,27,27,7,NA,7,1,3,Danish,195658,slå,hit,1,slå,27,3,27,7,0,7,1
alle,145,145,8.50344827586207,NA,2,20,4,Danish,195658,all,all,2,"alle, allerede",151,6,151,6.418390804597701,0,5,20
åbnet,2,2,6.5,NA,1,NA,5,Danish,195658,åbn,open (action),5,"åbne, åbnet, åbnes, åbn, åbner",62,4.4,62,5.193809523809524,0,19,1
gå,173,173,7.6531791907514455,5,17,9,2,Danish,195658,gå,walk,1,gå,173,2,173,7.6531791907514455,5,17,9
sove,87,87,6.068965517241379,NA,48,2,4,Danish,195658,sov,sleep,5,"sove, sover, sov, sovet, sovs",165,4.2,165,5.433693600960714,0,74,20
inde,92,92,7.880434782608695,NA,3,11,4,Danish,195658,ind,in,4,"i, inden, inde, ind",2287,3.25,2287,8.784539801039953,0,261,122
kører,147,147,5.993197278911564,NA,12,25,5,Danish,195658,kør,drive,3,"køre, kører, kør",433,4,433,5.9216983630435145,2,80,33
ind,190,190,8.610526315789473,NA,32,5,3,Danish,195658,ind,in,4,"i, inden, inde, ind",2287,3.25,2287,8.784539801039953,0,261,122
hjem,33,33,8.484848484848484,NA,15,NA,4,Danish,195658,hjem,home,2,"hjem, hjemme",61,5,61,7.367424242424242,0,24,3
lukker,13,13,5.6923076923076925,NA,1,NA,6,Danish,195658,luk,close,5,"lukke, lukkes, lukker, lukket, luk",65,5.2,65,4.749060616802552,1,15,4
søvnig,5,5,4,NA,3,NA,6,Danish,195658,søvn,sleepy,2,"søvnig, søvn",6,5,6,5,0,3,0
samme,36,36,7.916666666666667,NA,12,1,5,Danish,195658,sam,same,2,"sammen, samme",247,5.5,247,7.560229067930489,0,127,9
røde,59,59,6.254237288135593,NA,12,4,4,Danish,195658,rød,red,3,"rød, røde, rødder",143,4.333333333333333,143,6.957173746250959,5,47,7
røre,32,32,6.40625,NA,4,NA,4,Danish,195658,rør,touch,3,"røre, rører, rør",37,4,37,6.579861111111111,0,5,0
tag,66,66,4.46969696969697,NA,3,33,3,Danish,195658,tag,take,5,"tager, tage, tag, taget, tages",628,4.4,628,6.6058480225330944,0,35,48
faldet,19,19,7.315789473684211,NA,1,1,6,Danish,195658,fald,fall,5,"falder, faldt, faldet, falde, fald",230,5.2,230,7.173625005511105,0,28,36
lampen,2,2,3.5,NA,2,NA,6,Danish,195658,lamp,lamp,2,"lampen, lampe",6,5.5,6,2.625,2,3,0
hue,30,30,6.666666666666667,1,17,NA,3,Danish,195658,hue,hat,1,hue,30,3,30,6.666666666666667,1,17,0
trøjen,7,7,4.857142857142857,NA,2,NA,6,Danish,195658,trøj,sweater,2,"trøjen, trøje",10,5.5,10,4.761904761904762,0,3,0
bukserne,24,24,5.416666666666667,NA,8,2,8,Danish,195658,buks,pants,2,"bukserne, bukser",54,7,54,5.858333333333333,2,20,3
armene,2,2,4,NA,NA,NA,6,Danish,195658,arm,arm,4,"armene, arme, arm, armen",36,4.5,36,5.7875,0,18,3
