word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
tourné,49,49,7.673469387755102,1,22,NA,6,French (Quebecois),2043005,tourn,turn,10,"tournant, tournes, tourne, tourné, tourner, tournait, tournais, tournaient, tournis, tournée",1539,7.4,1539,7.351019237744295,102,541,174
lit,1028,1028,8.504863813229573,3,506,1,3,French (Quebecois),2043005,lit,bed,2,"lit, lits",1074,3.5,1074,8.448084080527831,3,539,1
contente,193,193,7.83419689119171,NA,80,NA,8,French (Quebecois),2043005,content,happy,6,"content, contente, contents, contentes, contenter, contentera",622,8.5,622,7.757727700560171,2,278,0
bonjour,713,713,3.4684431977559607,165,108,296,7,French (Quebecois),2043005,bonjour,hi,1,bonjour,713,7,713,3.4684431977559607,165,108,296
maison,1490,1490,8.673825503355705,5,824,1,6,French (Quebecois),2043005,maison,house,3,"maison, maisons, maisonnées",1554,7.666666666666667,1554,9.774873051383118,5,853,1
frères,89,89,9.898876404494382,NA,38,NA,6,French (Quebecois),2043005,frer,brother,2,"frères, frère",448,5.5,448,9.225204218960283,2,206,10
soeurs,39,39,8.564102564102564,NA,23,NA,6,French (Quebecois),2043005,soeur,sister,2,"soeurs, soeur",273,5.5,273,8.9017094017094,0,136,0
école,131,131,9.961832061068701,1,63,2,5,French (Quebecois),2043005,écol,school,2,"école, écoles",137,5.5,137,13.23091603053435,1,66,2
aimes,688,688,6.963662790697675,NA,22,3,5,French (Quebecois),2043005,aim,love,19,"aimes, aimé, aime, aimerais, aimerait, aimants, aimée, aimait, aimeras, aimer, aimant, aimais, aimaient, aimera, aimez, aimeraient, aimiez, aimés, aimante",1464,6.2105263157894735,1464,11.234675425629144,0,65,7
parles,240,240,7.6125,NA,59,1,6,French (Quebecois),2043005,parl,talk,13,"parles, parler, parlé, parle, parlant, parlais, parlait, parlera, parleras, parlez, parlerait, parlaient, parla",1163,6.6923076923076925,1163,10.411674514830922,6,304,34
parler,344,344,9.055232558139535,NA,130,2,6,French (Quebecois),2043005,parl,talk,13,"parles, parler, parlé, parle, parlant, parlais, parlait, parlera, parleras, parlez, parlerait, parlaient, parla",1163,6.6923076923076925,1163,10.411674514830922,6,304,34
lire,568,568,8.149647887323944,NA,169,2,4,French (Quebecois),2043005,lir,read,6,"lire, liras, lira, lirai, lirais, lirait",592,5,592,10.346369885982561,0,171,2
frère,359,359,8.551532033426184,2,168,10,5,French (Quebecois),2043005,frer,brother,2,"frères, frère",448,5.5,448,9.225204218960283,2,206,10
petite,2327,2327,8.68672110012892,1,181,57,6,French (Quebecois),2043005,petit,little (description),13,"petit, petite, petites, petits, pette, pète, pet, peter, péter, pets, pété, pétait, pétaient",11845,5.230769230769231,11845,6.521275301337626,16,790,311
dehors,420,420,7.116666666666666,15,252,12,6,French (Quebecois),2043005,dehor,outside,1,dehors,420,6,420,7.116666666666666,15,252,12
cherche,335,335,6.017910447761194,21,56,68,7,French (Quebecois),2043005,cherch,look for,13,"cherche, cherches, cherchais, chercher, cherché, cherchera, cherchait, cherchée, chercherais, cherchez, cherchant, cherchaient, chercherait",2413,8.846153846153847,2413,9.211675309359293,21,575,78
voir,3401,3401,6.905910026462805,NA,1335,12,4,French (Quebecois),2043005,voir,see,2,"voir, voire",3403,4.5,3403,4.952955013231403,0,1336,12
travaille,122,122,7.918032786885246,3,39,4,9,French (Quebecois),2043005,travaill,work (action),9,"travaille, travailles, travailler, travaillé, travaillait, travaillais, travaillant, travailliez, travaillez",299,10.222222222222221,299,7.843516865813678,5,112,5
bonnes,73,73,8.506849315068493,NA,9,2,6,French (Quebecois),2043005,bon,good,6,"bien, bon, bonnes, bonne, bons, biens",17661,4.5,17661,6.994191818175391,1055,6109,1934
grand,1317,1317,8.602885345482157,NA,308,18,5,French (Quebecois),2043005,grand,big,14,"grande, grands, grand, gros, grandes, grandir, grandissant, grandi, grandit, grandis, grandissent, grandement, grandiras, grandira",3887,7.428571428571429,3887,7.779607272185212,7,794,60
eau,219,219,8.926940639269406,5,123,1,3,French (Quebecois),2043005,eau,water (beverage),2,"eau, eaux",222,3.5,222,9.796803652968036,5,124,1
eau,219,219,8.926940639269406,5,123,1,3,French (Quebecois),2043005,eau,water (not beverage),2,"eau, eaux",222,3.5,222,9.796803652968036,5,124,1
bébé,1970,1970,7.206091370558376,21,960,51,4,French (Quebecois),2043005,beb,baby,6,"bébé, bébés, bebi, bebe, bebes, béb",2312,4.166666666666667,2312,5.386440743606512,22,1117,54
diras,61,61,8.754098360655737,NA,10,NA,5,French (Quebecois),2043005,dir,say,8,"dire, diras, dira, dirait, dirais, dirai, direz, diraient",2206,5.375,2206,9.94249435943974,0,458,2
soeur,234,234,9.239316239316238,NA,113,NA,5,French (Quebecois),2043005,soeur,sister,2,"soeurs, soeur",273,5.5,273,8.9017094017094,0,136,0
ok,10,10,9.5,NA,3,2,2,French (Quebecois),2043005,ok,ok,1,ok,10,2,10,9.5,0,3,2
part,244,244,8.700819672131148,NA,58,1,4,French (Quebecois),2043005,part,all gone,21,"part, partie, partir, parti, partez, partis, parte, partant, partira, partirait, partiras, partirai, parties, partait, parta, parts, partit, partes, partirais, partais, partaient",1258,6.571428571428571,1258,8.397501854390397,15,464,12
mettre,4699,4699,8.831879123217705,1,445,43,6,French (Quebecois),2043005,mettr,put,7,"mettre, mettra, mettrai, mettras, mettrais, mettrez, mettrait",4866,7,4866,11.547837848434382,1,449,43
petites,818,818,9.053789731051344,1,36,4,7,French (Quebecois),2043005,petit,little (description),13,"petit, petite, petites, petits, pette, pète, pet, peter, péter, pets, pété, pétait, pétaient",11845,5.230769230769231,11845,6.521275301337626,16,790,311
petits,1678,1678,9.053039332538736,NA,119,15,6,French (Quebecois),2043005,petit,little (description),13,"petit, petite, petites, petits, pette, pète, pet, peter, péter, pets, pété, pétait, pétaient",11845,5.230769230769231,11845,6.521275301337626,16,790,311
