word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
pintadas,2,2,5.5,NA,2,NA,8,Spanish (Mexican),1260545,pint,spanish_(mexican),paint (action),29,"pintado, pintando, pinto, pintar, pinta, pintamos, pintes, pintas, pintan, pintada, pintaba, pintemos, pinte, pínta, pintaste, pintarle, pintarlo, pintó, pintados, pintadas, pintarles, pintaran, pintéis, pintáis, pintaría, pintarla, pintarlas, pintarnos, pintarse",1317,7.137931034482759,1317,6.4263390989424884,38,533,90
miremos,7,7,6.142857142857143,NA,NA,1,7,Spanish (Mexican),1260545,mir,spanish_(mexican),look,35,"mira, mirarlo, mirando, miras, miraba, mire, mirándola, miro, miró, miré, miran, miradas, mirar, mirada, mirándome, mires, mirarme, miramos, miremos, mirad, mirado, miren, mirándoles, mirá, miraremos, miraste, mir, mirarse, míra, mirábamos, miraron, mirarle, mirabas, mirarlos, mirándolo",18323,6.257142857142857,18323,6.194795825740537,5963,2738,7253
pela,4,4,5,1,2,NA,4,Spanish (Mexican),1260545,pel,spanish_(mexican),hair,36,"pelo, peleando, pelado, peladas, peleamos, pelados, pelos, pelan, pelada, peleándonos, pelearon, pelean, peleas, peleándose, pelearse, pelear, peleen, peleado, pelearnos, peleaba, peleábamos, pelar, pelas, pela, peleéis, peleaban, pel, pele, peleará, peleabas, pelearan, peleaste, pelabas, pelamos, pelearía, peleáis",507,6.833333333333333,507,6.941676147382029,11,245,9
ardillica,1,1,3,NA,1,NA,9,Spanish (Mexican),1260545,ardill,spanish_(mexican),squirrel,3,"ardilla, ardillas, ardillica",133,8,133,5.44625,7,73,2
cantarán,7,7,9,NA,4,NA,8,Spanish (Mexican),1260545,cant,spanish_(mexican),sing,35,"canta, cantar, cantamos, cantas, canto, cante, cantemos, cantarle, cantárselo, cantabas, cánta, cantando, cantes, cantos, cantan, cantaba, cantado, cantarán, cantará, cantábamos, cantaríamos, cantaste, cantarles, cantáis, cantases, cantaban, canten, cantabais, cantó, cantarla, cantandome, cantasteis, cantarlas, cantaron, cantaremos",933,7.571428571428571,933,6.943735526416686,33,373,90
cantará,2,2,5.5,NA,1,NA,7,Spanish (Mexican),1260545,cant,spanish_(mexican),sing,35,"canta, cantar, cantamos, cantas, canto, cante, cantemos, cantarle, cantárselo, cantabas, cánta, cantando, cantes, cantos, cantan, cantaba, cantado, cantarán, cantará, cantábamos, cantaríamos, cantaste, cantarles, cantáis, cantases, cantaban, canten, cantabais, cantó, cantarla, cantandome, cantasteis, cantarlas, cantaron, cantaremos",933,7.571428571428571,933,6.943735526416686,33,373,90
trabajan,11,11,7.909090909090909,NA,6,NA,8,Spanish (Mexican),1260545,trabaj,spanish_(mexican),work (action),24,"trabajando, trabajadores, trabajo, trabajar, trabajado, trabajan, trabaja, trabajaba, trabajador, trabajos, trabajamos, trabajáis, trabajas, trabajaban, trabajes, trabajasteis, trabajada, trabajadoras, trabajadora, trabajó, trabajaron, trabajante, trabajemos, trabajaremos",677,9.416666666666666,677,7.207142414426777,18,344,29
soplamos,1,1,6,NA,NA,NA,8,Spanish (Mexican),1260545,sopl,spanish_(mexican),blow,20,"soplar, sopla, soplé, soplas, soplamos, soplabas, soplido, soplan, soplará, soplad, soplarla, soplaré, soplaste, sopló, soplo, soplasteis, soplaba, soples, soplando, soplaron",136,6.8,136,5.754404761904762,20,44,12
tirarlas,3,3,6.666666666666667,NA,NA,NA,8,Spanish (Mexican),1260545,tir,spanish_(mexican),throw,50,"tiró, tires, tiras, tirado, tira, tiro, tire, tirando, tirar, tiramos, tirada, tirarles, tiré, tiraba, tirarle, tiraron, tirándonos, tirarla, tiran, tirarlo, tirárselas, tirarse, tirarnos, tirarlas, tirándose, tiren, tirados, tirarlos, tirarán, tiraban, tirabas, tirándola, tiréis, tirarían, tiraros, tiraste, tirará, tirarme, tirarás, tiradas, tiros, aventó, aventando, aventar, aventaste, tíra, tirándole, tiraran, tirí, tirárselos",1205,6.7,1205,6.796324048095483,39,348,81
faldas,7,7,9.714285714285714,NA,5,NA,6,Spanish (Mexican),1260545,fald,spanish_(mexican),skirt,2,"falda, faldas",37,5.5,37,8.507142857142856,1,15,0
