word,wordcount,frequency_word,mlu_word,solo_word,final_word,initial_word,charactercount,language,totalcount,stem,language.y,uni_lemma,nb_realisations_lemma,words_lemma,sum_wordcount_lemma,mean_character_count_lemma,frequency,MLU,solo_frequency,final_frequency,initial_frequency
prozora,5,5,10.4,NA,2,NA,7,Croatian,224755,prozor,Croatian,window,7,"prozor, prozora, prozoru, prozorima, prozore, prozorom, prozori",61,7.285714285714286,61,4.98695652173913,3,26,5
radi,504,504,NA,10,198,9,4,Croatian,224755,rad,Croatian,radio,16,"rade, radi, radili, radio, radila, raditi, radim, radimo, radit, rada, radu, radom, radite, radove, radile, rado",1100,5.125,1100,6.36843021240034,22,488,16
gledaj,235,235,NA,50,43,62,6,Croatian,224755,gleda,Croatian,look,13,"gledao, gledaš, gleda, gledaj, gledati, gledala, gledaju, gledali, gledam, gledate, gledat, gledo, gledamo",579,6.3076923076923075,579,7.0026475324429285,68,147,88
zašto,345,345,NA,66,59,96,5,Croatian,224755,zašt,Croatian,why,1,zašto,345,5,345,NA,66,59,96
koza,66,66,11.818181818181818,1,8,3,4,Croatian,224755,koz,Croatian,goat,6,"koza, koze, kozu, kozom, koz, kozi",84,4,84,9.733585858585858,1,14,3
gotovo,109,109,NA,17,58,12,6,Croatian,224755,gotov,Croatian,finished,4,"gotovo, gotova, gotov, gotovi",173,5.75,173,7.2213642213642215,17,81,20
sve,520,520,NA,10,51,83,3,Croatian,224755,sve,Croatian,all,1,sve,520,3,520,NA,10,51,83
radili,45,45,7.088888888888889,NA,27,NA,6,Croatian,224755,radi,Croatian,radio,16,"rade, radi, radili, radio, radila, raditi, radim, radimo, radit, rada, radu, radom, radite, radove, radile, rado",1100,5.125,1100,6.36843021240034,22,488,16
nemoj,635,635,NA,28,67,314,5,Croatian,224755,nem,Croatian,all gone,7,"nema, nemoj, nemamo, nemam, nemaš, nemate, nemaju",1174,5.285714285714286,1174,5.898148148148148,80,144,533
nemoj,635,635,NA,28,67,314,5,Croatian,224755,nem,Croatian,don't,2,"nema, nemoj",990,4.5,990,NA,57,129,470
