item_id,category,definition,gloss,uni_lemma,language
item_51,animals,medve,bear,bear,Hungarian
item_52,animals,mókus,squirrel,squirrel,Hungarian
item_53,animals,nyuszi,bunny,bunny,Hungarian
item_54,animals,oroszlán,lion,lion,Hungarian
item_55,animals,őzike,roe,,Hungarian
item_56,animals,paci,foal,,Hungarian
item_57,animals,pingvin,penguin,penguin,Hungarian
item_58,animals,póni,pony,pony,Hungarian
item_59,animals,pulyka,turkey,turkey,Hungarian
item_60,animals,szamár,donkey,donkey,Hungarian
item_61,animals,szarvas,deer,deer,Hungarian
item_62,animals,tehén,cow,cow,Hungarian
item_63,animals,teknős,turtle,turtle,Hungarian
item_64,animals,tigris,tiger,tiger,Hungarian
item_65,animals,tyúk,hen,hen,Hungarian
item_66,animals,zebra,zebra,,Hungarian
item_67,animals,zsiráf,giraffe,giraffe,Hungarian
item_68,vehicles,autó,car (automobile),car,Hungarian
item_69,vehicles,bkocsi,stroller,stroller,Hungarian
item_70,vehicles,bicikli,bicycle,bicycle,Hungarian
item_71,vehicles,busz,bus,bus,Hungarian
item_72,vehicles,hajó,boat,boat,Hungarian
item_73,vehicles,helikopter,helicopter,,Hungarian
item_74,vehicles,kocsi,car (in general),car,Hungarian
item_75,vehicles,mentő,ambulance,ambulance,Hungarian
item_76,vehicles,metró,subway,,Hungarian
item_77,vehicles,motor,motorcycle,motorcycle,Hungarian
item_78,vehicles,repülőgép,airplane,airplane,Hungarian
item_79,vehicles,szánkó,sled,,Hungarian
item_80,vehicles,teherautó,truck,truck,Hungarian
item_81,vehicles,traktor,tractor,tractor,Hungarian
item_82,vehicles,troli,trolleybus,,Hungarian
item_83,vehicles,tűzoltó,firetruck,firetruck,Hungarian
item_84,vehicles,villamos,tram,tram,Hungarian
item_85,vehicles,vonat,train,train,Hungarian
item_86,toys,ajándék,present,present,Hungarian
item_87,toys,baba,doll,doll,Hungarian
item_88,toys,buborék,bubbles,bubbles,Hungarian
item_89,toys,ceruza,pencil,,Hungarian
item_90,toys,gereblye,rake,,Hungarian
item_91,toys,golyó,ball (hard like taws),ball,Hungarian
item_92,toys,gyurma,play dough,,Hungarian
item_93,toys,játék,toy (or game in general),,Hungarian
item_94,toys,kártya,card,,Hungarian
item_95,toys,kirakós,puzzle,,Hungarian
item_96,toys,kocka,block,block,Hungarian
item_97,toys,könyv,book,book,Hungarian
item_98,toys,kréta,chalk,,Hungarian
item_99,toys,labda,ball,ball,Hungarian
item_100,toys,lapát,shovel,shovel,Hungarian
item_101,toys,lego,Lego,,Hungarian
item_102,toys,lufi,balloon,balloon,Hungarian
item_103,toys,mese,story,,Hungarian
item_104,toys,ragasztó,glue,,Hungarian
item_105,toys,toll,pen,pen,Hungarian
item_106,toys,vödör,bucket,bucket,Hungarian
item_107,toys,zsírkréta,crayon,crayon,Hungarian
item_108,food_drink,alma,apple,apple,Hungarian
item_109,food_drink,bab,beans,beans,Hungarian
item_110,food_drink,banán,banana,banana,Hungarian
item_111,food_drink,barack,peach (also apricot),peach,Hungarian
item_112,food_drink,borsó,peas,peas,Hungarian
item_113,food_drink,chips,potato chip,,Hungarian
item_114,food_drink,cukor,candy/sugar,,Hungarian
item_115,food_drink,csirke,chicken,,Hungarian
item_116,food_drink,csoki,chocolate,chocolate,Hungarian
item_117,food_drink,dinnye,melon,,Hungarian
item_118,food_drink,dió,nuts,,Hungarian
item_119,food_drink,eper,strawberry,,Hungarian
item_120,food_drink,étel,food,food,Hungarian
item_121,food_drink,fagyi,ice cream,ice cream,Hungarian
item_122,food_drink,fánk,donut,,Hungarian
item_123,food_drink,felvágott,cold cuts,,Hungarian
item_124,food_drink,főzelék,vegetable meal,,Hungarian
item_125,food_drink,gyümölcslé,juice,juice,Hungarian
item_126,food_drink,hal,fish,fish (food),Hungarian
item_127,food_drink,hamburger,hamburger,,Hungarian
item_128,food_drink,hús,meat,meat,Hungarian
